filename,ros_sec,ros_nanosec,frame_id,topic,encoding,width,height,saved_wall_time
zed_parts_table_1779537162_884771963_000036.jpg,1779537162,884771963,zed_left_camera_optical_frame,/zed/zed_node/rgb/image_rect_color,bgra8,1280,720,1779537163.9149697
zed_parts_table_1779537171_818816963_000037.jpg,1779537171,818816963,zed_left_camera_optical_frame,/zed/zed_node/rgb/image_rect_color,bgra8,1280,720,1779537172.760041
zed_parts_table_1779537180_952484963_000038.jpg,1779537180,952484963,zed_left_camera_optical_frame,/zed/zed_node/rgb/image_rect_color,bgra8,1280,720,1779537181.8948855
zed_parts_table_1779537190_086545963_000039.jpg,1779537190,86545963,zed_left_camera_optical_frame,/zed/zed_node/rgb/image_rect_color,bgra8,1280,720,1779537191.0322826
zed_parts_table_1779537199_220447963_000040.jpg,1779537199,220447963,zed_left_camera_optical_frame,/zed/zed_node/rgb/image_rect_color,bgra8,1280,720,1779537200.1693444
zed_parts_table_1779537208_354548963_000041.jpg,1779537208,354548963,zed_left_camera_optical_frame,/zed/zed_node/rgb/image_rect_color,bgra8,1280,720,1779537209.310507
zed_parts_table_1779537216_921553963_000042.jpg,1779537216,921553963,zed_left_camera_optical_frame,/zed/zed_node/rgb/image_rect_color,bgra8,1280,720,1779537217.8526742
zed_parts_table_1779537226_055473963_000043.jpg,1779537226,55473963,zed_left_camera_optical_frame,/zed/zed_node/rgb/image_rect_color,bgra8,1280,720,1779537226.9910102
zed_parts_table_1779537234_889139963_000044.jpg,1779537234,889139963,zed_left_camera_optical_frame,/zed/zed_node/rgb/image_rect_color,bgra8,1280,720,1779537235.83064
zed_parts_table_1779537243_989698963_000045.jpg,1779537243,989698963,zed_left_camera_optical_frame,/zed/zed_node/rgb/image_rect_color,bgra8,1280,720,1779537244.9198275
zed_parts_table_1779537253_090251963_000046.jpg,1779537253,90251963,zed_left_camera_optical_frame,/zed/zed_node/rgb/image_rect_color,bgra8,1280,720,1779537254.017187
zed_parts_table_1779537262_225080963_000047.jpg,1779537262,225080963,zed_left_camera_optical_frame,/zed/zed_node/rgb/image_rect_color,bgra8,1280,720,1779537263.1516352
zed_parts_table_1779537271_358226963_000048.jpg,1779537271,358226963,zed_left_camera_optical_frame,/zed/zed_node/rgb/image_rect_color,bgra8,1280,720,1779537272.292136
zed_parts_table_1779537280_492208963_000049.jpg,1779537280,492208963,zed_left_camera_optical_frame,/zed/zed_node/rgb/image_rect_color,bgra8,1280,720,1779537281.4226766
